Time,Mean_Speed_30_Turbine35,Power_Turbine35,Mean_Speed_30_Turbine37,Power_Turbine37,Mean_Speed_30_Turbine38,Power_Turbine38,Mean_Speed_30_Turbine39,Power_Turbine39,Mean_Speed_30_Turbine40,Power_Turbine40,Mean_Speed_30_Turbine41,Power_Turbine41,Mean_Speed_30_Turbine42,Power_Turbine42,Mean_Speed_30_Turbine43,Power_Turbine43,Mean_Speed_30_Turbine44,Power_Turbine44,Mean_Speed_30_Turbine45,Power_Turbine45,Mean_Speed_30_Turbine46,Power_Turbine46,Mean_Speed_30_Turbine47,Power_Turbine47,Mean_Speed_30_Turbine48,Power_Turbine48,Mean_Speed_30_Turbine49,Power_Turbine49,Mean_Speed_30_Turbine50,Power_Turbine50,Mean_Speed_30_Turbine51,Power_Turbine51,Mean_Speed_30_Turbine52,Power_Turbine52,Mean_Speed_30_Turbine54,Power_Turbine54,Mean_Speed_30_Turbine55,Power_Turbine55,Mean_Speed_30_Turbine56,Power_Turbine56,Mean_Speed_30_Turbine57,Power_Turbine57,Mean_Speed_30_Turbine58,Power_Turbine58,Mean_Speed_30_Turbine59,Power_Turbine59,Mean_Speed_30_Turbine60,Power_Turbine60
 2019-01-03 15:30:00,10.63666667,-12.5,5.741666667,503.3333333,5.976666667,470.8333333,5.753333333,511.5,6.11,530.5,5.978333333,487.3333333,5.65,254.3333333,4.855,209,4.688333333,233.5,4.843333333,191,4.215,194.6666667,5.343333333,261.5,5.863333333,-7.833333333,5.561666667,331.6666667,5.368333333,0.166666667,5.556666667,379.3333333,5.331666667,233.8333333,5.086666667,289.3333333,5.741666667,476,5.763333333,414.3333333,5.813333333,400,6.253333333,546.1666667,5.816666667,426.5,6.003333333,509.1666667
 2019-01-03 16:30:00,7.75,-6.166666667,6.131666667,476.3333333,6.288333333,438.3333333,6.033333333,555.6666667,5.995,530.8333333,5.961666667,372.6666667,5.081666667,152.1666667,3.905,135.1666667,4.97,282.5,4.27,137.5,3.923333333,164.3333333,5.718333333,317.5,4.981666667,-9.333333333,4.565,207.1666667,4.4,155.5,4.083333333,162.3333333,4.946666667,185.3333333,4.76,239.5,5.708333333,430.1666667,4.703333333,245.5,5.528333333,335.6666667,5.273333333,291.3333333,5.616666667,359.8333333,5.516666667,422.5
 2019-01-03 17:30:00,8.495,-5,6.775,656.6666667,5.553333333,430.8333333,6.42,594,7.081666667,868.1666667,5.795,417,5.62,333.6666667,5.201666667,334.1666667,5.873333333,430.8333333,5.091666667,348.1666667,4.921666667,354.5,5.968333333,381.6666667,5.12,-10.83333333,5.301666667,352.1666667,5.061666667,328.6666667,5.313333333,304.8333333,5.931666667,410.8333333,5.751666667,482.8333333,5.818333333,449.3333333,6.07,492.3333333,6.146666667,425.6666667,5.236666667,354.1666667,5.761666667,443.3333333,5.605,398.6666667
 2019-01-03 18:30:00,9.271666667,-5,6.813333333,669.3333333,6.543333333,646,5.926666667,567.5,7.566666667,992.5,6.475,647.8333333,6.963333333,693.3333333,6.311666667,639.6666667,6.543333333,629.5,7.473333333,972.5,6.068333333,721.5,6.651666667,621.6666667,5.836666667,100.8333333,6.088333333,570.1666667,6.54,630.5,6.466666667,727.5,8.28,1111.833333,7.731666667,1147.5,6.98,867.5,6.41,691,6.34,636.5,6.035,597.5,6.481666667,673,6.543333333,738
 2019-01-03 19:30:00,9.895,-5,6.933333333,750.3333333,6.538333333,629.8333333,6.156666667,639.8333333,7.87,1082.333333,6.063333333,563.5,6.876666667,711,6.523333333,724.5,7.218333333,885.5,7.29,679.6666667,6.35,797.8333333,7.181666667,882.3333333,6.26,502.8333333,6.095,502.3333333,5.936666667,567.1666667,6.706666667,791.8333333,7.96,979.8333333,8.15,1098,7.218333333,964,5.88,588.3333333,5.993333333,500.6666667,5.763333333,448,6.65,610.1666667,6.868333333,837.3333333
 2019-01-03 20:30:00,9.925,-5,6.35,594,6.095,534.5,6.858333333,934.6666667,7.835,1097.833333,6.658333333,568.8333333,6.948333333,746.8333333,6.585,756.8333333,6.55,642.5,7.838333333,773.5,6.331666667,936.3333333,6.561666667,665.1666667,6.555,399.1666667,6.583333333,771.1666667,7.175,939.8333333,7.603333333,1135.333333,8.793333333,1240.333333,8.54,1331.166667,6.698333333,860.5,6.061666667,579,6.91,662.1666667,6.205,567.1666667,7.095,789.1666667,6.693333333,766.1666667
 2019-01-03 21:30:00,23.40666667,-5,7.216666667,903.1666667,7.175,937.5,7.561666667,1242,8.128333333,1401.333333,7.295,943.6666667,7.315,944.8333333,7.645,1170,7.216666667,1090.166667,8.865,1729.833333,8.22,1847.5,8.025,1263.666667,7.128333333,927.6666667,6.863333333,1041.166667,7.653333333,1245,7.453333333,1346.333333,9.051666667,1565.5,7.69,1359.5,7.12,1087.333333,6.681666667,749.3333333,6.811666667,794.5,6.445,768,7.145,911.3333333,6.688333333,846.8333333
 2019-01-03 22:30:00,50,-5,7.261666667,1099,7.5,1102.333333,7.483333333,1330.833333,8.445,1542.666667,7.861666667,1362.333333,9.121666667,1919.333333,8.401666667,1682,8.475,1661.666667,9.81,2184.333333,9.146666667,2258.833333,10.24666667,2348,8.49,1531.333333,9.38,2208.333333,9.96,2209.833333,8.84,1972.166667,10.305,2240.666667,8.723333333,2007.5,7.736666667,1381.166667,7.073333333,894.3333333,7.215,1050.166667,6.938333333,1057.5,8.311666667,1543.5,7.146666667,1132.166667
 2019-01-03 23:30:00,50,-5,6.545,772.5,6.733333333,812,6.303333333,778.3333333,7.696666667,1091.166667,7.513333333,1065,8.391666667,1429,7.42,1085.333333,7.065,949.5,8.476666667,1463,7.685,1437.666667,8.786666667,1482.833333,7.77,1087,8.266666667,1469.5,8.545,1529.666667,8.55,1577.666667,9.385,1532,7.763333333,1334,6.411666667,737.3333333,6.29,652.5,6.673333333,787,6.23,714.3333333,7.623333333,1029.333333,6.85,909.1666667
 2019-01-04 00:30:00,50,-5,6.676666667,853.5,7.008333333,850.8333333,6.925,1037.5,7.426666667,1142.833333,7.69,1051.333333,7.848333333,1139.833333,7.873333333,1242.166667,7.143333333,964.3333333,9.193333333,1649,8.603333333,1628.333333,7.885,1149.666667,7.298333333,823.3333333,7.185,1171.666667,7.156666667,1238,7.901666667,1396.333333,9.183333333,1577,8.163333333,1357,6.753333333,930.5,6.323333333,717.8333333,6.928333333,899,6.655,810,7.841666667,1236.333333,6.46,816
